season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2020,23,2021,2,6,46,48,,,6,21,4,21,737150000.0,118150000.0,
2020,23,2021,2,6,18,49,,,21,16,19,9,216300000.0,262850000.0,
2020,23,2021,2,7,52,23,,,7,5,7,10,422600000.0,480500000.0,
2020,23,2021,2,7,24,26,,,1,2,2,1,1110000000.0,1060000000.0,
2020,23,2021,2,8,27,17,,,3,12,6,8,765350000.0,507300000.0,
2020,24,2021,2,13,23,24,,,5,1,10,2,480500000.0,1110000000.0,
2020,24,2021,2,13,9,2,,,15,17,17,21,252450000.0,323500000.0,
2020,24,2021,2,13,15,10,,,14,9,12,15,207980000.0,152080000.0,
2020,24,2021,2,13,17,18,,,12,21,8,19,507300000.0,216300000.0,
2020,24,2021,2,13,41,52,,,11,7,16,7,240500000.0,422600000.0,
2020,24,2021,2,13,48,27,,,21,3,21,6,118150000.0,765350000.0,
2020,24,2021,2,13,49,39,,,16,10,9,21,262850000.0,172300000.0,
2020,24,2021,2,13,26,46,,,2,6,1,4,1060000000.0,737150000.0,
2020,24,2021,2,14,1,22,,,8,21,5,21,556700000.0,195530000.0,
2020,24,2021,2,15,13,30,,,4,13,3,14,823050000.0,268050000.0,
2020,25,2021,2,20,41,13,,,11,4,16,3,240500000.0,823050000.0,
2020,25,2021,2,20,10,48,,,9,21,15,21,152080000.0,118150000.0,
2020,25,2021,2,20,18,39,,,21,10,19,21,216300000.0,172300000.0,
2020,25,2021,2,20,49,46,,,16,6,9,4,262850000.0,737150000.0,
2020,25,2021,2,20,52,22,,,7,21,7,21,422600000.0,195530000.0,
2020,25,2021,2,20,24,17,,,1,12,2,8,1110000000.0,507300000.0,
2020,25,2021,2,21,2,23,,,17,5,21,10,323500000.0,480500000.0,
2020,25,2021,2,21,1,26,,,8,2,5,1,556700000.0,1060000000.0,
2020,25,2021,2,21,27,30,,,3,13,6,14,765350000.0,268050000.0,
2020,25,2021,2,22,9,15,,,15,14,17,12,252450000.0,207980000.0,
2020,26,2021,2,27,26,49,,,2,16,1,9,1060000000.0,262850000.0,
2020,26,2021,2,27,15,18,,,14,21,12,19,207980000.0,216300000.0,
2020,26,2021,2,27,23,1,,,5,8,10,5,480500000.0,556700000.0,
2020,26,2021,2,27,30,52,,,13,7,14,7,268050000.0,422600000.0,
2020,26,2021,2,27,39,24,,,10,1,21,2,172300000.0,1110000000.0,
2020,26,2021,2,27,48,9,,,21,15,21,17,118150000.0,252450000.0,
2020,26,2021,2,27,22,2,,,21,17,21,21,195530000.0,323500000.0,
2020,26,2021,2,28,46,10,,,6,9,4,15,737150000.0,152080000.0,
2020,26,2021,2,28,13,27,,,4,3,3,6,823050000.0,765350000.0,
2020,26,2021,3,1,17,41,,,12,11,8,16,507300000.0,240500000.0,
2020,27,2021,3,6,2,52,,,17,7,21,7,323500000.0,422600000.0,
2020,27,2021,3,6,9,23,,,15,5,17,10,252450000.0,480500000.0,
2020,27,2021,3,6,10,1,,,9,8,15,5,152080000.0,556700000.0,
2020,27,2021,3,6,13,17,,,4,12,3,8,823050000.0,507300000.0,
2020,27,2021,3,6,24,18,,,1,21,2,19,1110000000.0,216300000.0,
2020,27,2021,3,6,26,27,,,2,3,1,6,1060000000.0,765350000.0,
2020,27,2021,3,6,39,41,,,10,11,21,16,172300000.0,240500000.0,
2020,27,2021,3,6,46,15,,,6,14,4,12,737150000.0,207980000.0,
